,address,price,url,lat,lng,beds
70,5559 Glenridge Dr,"174,900",30342,33.90604,-84.36717,1
71,285 Andrew Hairston Pl NW,"175,000",30314,33.762405,-84.413574,3
72,1129 Graymont Dr SW #14,"179,900",30310,33.72441,-84.43681,2
73,2963 Church St,"170,000",30344,33.674526,-84.445435,3
74,1741 Flintwood Dr SE,"170,000",30316,33.710945,-84.31875,3
75,5300 Peachtree Rd #210,"172,000",30341,33.88987,-84.30453,1
76,390 17th St NW #2002,"174,900",30363,33.790318,-84.3995,1
77,1405 Sherrie Ln SW,"179,000",30331,33.70415,-84.538826,4
78,1884 Windsor Dr SW,"175,000",30311,33.704384,-84.47471,3
79,4236 Yates Rd,"175,000",30337,33.640163,-84.48569,3
80,1611 White Way #4,"179,900",30344,33.678925,-84.44114,1
81,2755 Dodson Lee Dr,"170,000",30344,33.675682,-84.47897,4
82,1643 Briarcliff Rd NE #6,"177,000",30306,33.801773,-84.336334,2
83,1643 Briarcliff Rd NE,"177,000",30306,33.80153,-84.336494,2
84,1701 Queen Anne Ct,"175,000",30350,34.007935,-84.33685,2
85,1248 Princess Ave SW,"170,000",30310,33.720863,-84.42501,5
86,1254 Princess Ave SW,"170,000",30310,33.720722,-84.42501,3
87,1840 Dorsey Ave,"179,000",30344,33.678036,-84.4488,3
88,1280 W Peachtree St NW #1903,"179,900",30309,33.789707,-84.388115,1
89,9 Gould St SE,"170,000",30315,33.70623,-84.37808,3
90,2740 Flagstone Dr SE,"175,000",30316,33.7093,-84.31756,3
91,70 Gardenia Dr NW,"174,900",30314,33.75698,-84.44119,4
92,1850 Cotillion Dr #3318,"177,900",30338,33.92217,-84.3123,1
93,2000 County Line Rd SW,"179,000",30331,33.701393,-84.53418,0
94,416 E Side Ave SE #1,"175,500",30316,33.74187,-84.33974,0
95,8208 Santa Fe Pkwy,"172,000",30350,33.964348,-84.370636,3
96,1715 Wee Kirk Rd SE,"175,000",30316,33.700443,-84.32006,3
97,1865 Braeburn Cir SE,"175,000",30316,33.734764,-84.32602,2
98,4121 Tell Rd SW,"175,000",30331,33.680805,-84.52333,4
99, Sylvan Rd,"175,000",30310,33.7283,-84.4234,0
100,2654 Harber Valley Dr,"179,500",30360,33.911655,-84.27876,3
