address,zipcode,lat,lng,beds,price,Restau,crime,scaleprice,scalefood,scalecrime
Ford Ave,30318,33.7904,-84.44,0,30000,403,11424,-0.6653520971064658,-0.6824356094108804,2.5050448682888655
967 Proctor St NW,30314,33.76518,-84.41917,2,39900,939,4681,-0.652775825854635,0.5618500330019459,0.30203504000499903
2185 Woodberry Ave,30344,33.697914,-84.46006,3,32900,482,27,-0.66166813886098,-0.49904276286122884,-1.218476266658669
1516 Pontiac Pl SE,30315,33.71313,-84.35578,0,32000,361,6783,-0.66281143624751,-0.7799356037790497,0.9887807999119673
Erin Rd SW,30331,33.7101,-84.5341,0,37000,49,6204,-0.6564597841001207,-1.504221276228307,0.7996153408319794
703 Meldrum St NW,30318,33.769394,-84.41043,0,45000,403,11424,-0.6462971406642979,-0.6824356094108804,2.5050448682888655
230 Morris Brown Ave NW,30314,33.76166,-84.453445,2,42000,939,4681,-0.6501081319527314,0.5618500330019459,0.30203504000499903
1342 Nash Rd NW,30331,33.792236,-84.491776,2,45000,49,6204,-0.6462971406642979,-1.504221276228307,0.7996153408319794
1859 Whitehall Forest Ct SE,30316,33.68424,-84.31601,3,40000,365,2212,-0.6526487928116872,-0.7706498900297003,-0.5046135238438615
1139 Hillcrest Dr SE #4,30316,33.698326,-84.34392,0,49900,365,2212,-0.6400725215598563,-0.7706498900297003,-0.5046135238438615
304 Lincoln St SW,30315,33.7127,-84.398834,3,40000,361,6783,-0.6526487928116872,-0.7799356037790497,0.9887807999119673
5195 Cascade Rd SW,30331,33.73034,-84.55794,0,40000,49,6204,-0.6526487928116872,-1.504221276228307,0.7996153408319794
2593 Flagstone Dr SE,30316,33.712605,-84.31995,0,40000,365,2212,-0.6526487928116872,-0.7706498900297003,-0.5046135238438615
1749 Lisbon Dr SW,30310,33.706997,-84.412346,3,41500,630,6915,-0.6507432971674704,-0.15547135413529914,1.0319066040545553
1054 Pluma Dr SE #Lot NA,30316,33.697906,-84.347305,0,42000,365,2212,-0.6501081319527314,-0.7706498900297003,-0.5046135238438615
1054 Pluma Dr SE,30316,33.697906,-84.347305,0,42000,365,2212,-0.6501081319527314,-0.7706498900297003,-0.5046135238438615
Adams Dr SW,30311,33.7239,-84.4745,0,41000,171,5201,-0.6513784623822093,-1.2210070068731487,0.4719245714757999
2180 Worthem Ave SW,30311,33.725304,-84.46203,0,40000,171,5201,-0.6526487928116872,-1.2210070068731487,0.4719245714757999
Westmont Rd,30311,33.7239,-84.4745,0,47500,171,5201,-0.6431213145906032,-1.2210070068731487,0.4719245714757999
Westmont Rd #18,30311,33.7239,-84.4745,0,47500,171,5201,-0.6431213145906032,-1.2210070068731487,0.4719245714757999
Ezra Church Dr,30314,33.757,-84.4262,0,47000,939,4681,-0.6437564798053421,0.5618500330019459,0.30203504000499903
Ezra Church Dr #14,30314,33.757,-84.4262,0,40000,939,4681,-0.6526487928116872,0.5618500330019459,0.30203504000499903
Ezra Church Dr NW,30314,33.757,-84.4262,0,47000,939,4681,-0.6437564798053421,0.5618500330019459,0.30203504000499903
3268 Jonesboro Rd SE,30354,33.665394,-84.37342,0,45000,449,1621,-0.6462971406642979,-0.5756499012933618,-0.6976995105731756
Polar Rock Ter #2,30315,33.7067,-84.3851,0,45000,361,6783,-0.6462971406642979,-0.7799356037790497,0.9887807999119673
3292 Jonesboro Rd SE,30354,33.665253,-84.37343,0,45000,449,1621,-0.6462971406642979,-0.5756499012933618,-0.6976995105731756
Gary Rd #2,30318,33.7905,-84.44,0,45000,403,11424,-0.6462971406642979,-0.6824356094108804,2.5050448682888655
Gary Rd #3,30318,33.7905,-84.44,0,45000,403,11424,-0.6462971406642979,-0.6824356094108804,2.5050448682888655
158 Hemphill School Rd NW,30331,33.76,-84.500854,0,41000,49,6204,-0.6513784623822093,-1.504221276228307,0.7996153408319794
156 Hemphill School Rd NW,30331,33.759968,-84.500854,0,41000,49,6204,-0.6513784623822093,-1.504221276228307,0.7996153408319794
776 Formwalt St SW,30315,33.73373,-84.39574,0,47500,361,6783,-0.6431213145906032,-0.7799356037790497,0.9887807999119673
680 Formwalt St SW,30315,33.733646,-84.39574,0,47500,361,6783,-0.6431213145906032,-0.7799356037790497,0.9887807999119673
351 Sawtell Ave SE,30315,33.705967,-84.37688,2,42000,361,6783,-0.6501081319527314,-0.7799356037790497,0.9887807999119673
1213 Allene Ave SW #100,30310,33.721756,-84.413414,1,49900,630,6915,-0.6400725215598563,-0.15547135413529914,1.0319066040545553
Gary,30318,33.7905,-84.44,0,45000,403,11424,-0.6462971406642979,-0.6824356094108804,2.5050448682888655
Benjamin E,30331,33.7101,-84.5341,0,45000,49,6204,-0.6462971406642979,-1.504221276228307,0.7996153408319794
570 Peyton Rd SW,30311,33.739906,-84.47788,0,43000,171,5201,-0.6488378015232535,-1.2210070068731487,0.4719245714757999
1758 Cahoon St SW,30310,33.70838,-84.41104,2,46900,630,6915,-0.6438835128482899,-0.15547135413529914,1.0319066040545553
Barrett Dr NW #18,30318,33.7905,-84.44,0,41500,403,11424,-0.6507432971674704,-0.6824356094108804,2.5050448682888655
2nd St NW,30318,33.78571,-84.46781,0,48800,403,11424,-0.641469885032282,-0.6824356094108804,2.5050448682888655
Barrett Dr NW #11,30318,33.7905,-84.44,0,47200,403,11424,-0.6435024137194466,-0.6824356094108804,2.5050448682888655
Barrett St NW,30318,33.7905,-84.44,0,41500,403,11424,-0.6507432971674704,-0.6824356094108804,2.5050448682888655
3439 Almand Rd SE,30316,33.683647,-84.344185,3,44500,365,2212,-0.6469323058790368,-0.7706498900297003,-0.5046135238438615
2nd St,30318,33.7904,-84.44,0,48800,403,11424,-0.641469885032282,-0.6824356094108804,2.5050448682888655
Polar Rock Ter,30315,33.7067,-84.3851,0,45000,361,6783,-0.6462971406642979,-0.7799356037790497,0.9887807999119673
845 Lee Andrews Ave SE,30315,33.69762,-84.361786,2,58900,361,6783,-0.6286395476945555,-0.7799356037790497,0.9887807999119673
36 Bowen Ave SE,30315,33.709614,-84.38332,2,58900,361,6783,-0.6286395476945555,-0.7799356037790497,0.9887807999119673
427 Sargent Dr SE,30315,33.690002,-84.37523,2,51593,361,6783,-0.6379218521427503,-0.7799356037790497,0.9887807999119673
1026 Valley View Rd SE,30315,33.69133,-84.35445,3,59900,361,6783,-0.6273692172650777,-0.7799356037790497,0.9887807999119673
2400 Campbellton Rd SW #M12,30311,33.7031,-84.46581,2,54900,171,5201,-0.633720869412467,-1.2210070068731487,0.4719245714757999
