Name,zip_code
China Hot Pot,30340
Sushi Hayakawa,30340
Nick's Food To Go,30312
Salata,30363
Snackboxe Bistro,30360
RA Sushi Bar Restaurant,30309
Lure,30309
Grub Burger Bar,30339
Crispina Grill,30339
Caravaca Market,30308
Bell Street Burritos,30307
Portofino,30305
Cirque Daiquiri Bar and Grill,30324
La Fonda Latina,30318
Dixie Q,30319
Topgolf,30318
Sushi Village,30339
FIGO Pasta - Edgewood / L5P,30307
Local Green Atlanta,30314
Big Chow Grill,30339
Southbound,30341
Front Page News,30307
Taqueria La Carreta,30329
West Egg Café,30318
Ormsbys,30318
International Cafe,30329
The Original Pancake House,30324
Bar Mercado,30307
Purely Atlanta,30308
Hudson Grille,30309
Intown Market,30312
Noodle Cafe,30303
Panbury's Pie Café,30303
Mediterraneun Grill House,3058
Recess,30307
Fork In The Road,30084
Mr. Hibachi,30303
Il Localino,30307
Manuel's Tavern,30307
Gu’s Kitchen,30341
Flower Child,30326
Doraku Sushi Buckhead,30305
Zeus Greek Street Food,30339
The Po'Boy Shop,30033
Saba,30307
Emerald City Bagels,30316
Porkman's Table,30309
Bully Boy,30306
Vinny's New York Pizza,30308
Lucky's Burger & Brew,30319
Nine Mile Station,30308
Farmers Basket,30303
Howell's Kitchen and Bar,30318
Blue Moon Pizza,30305
Gino's East - Atlanta,30306
Batavia Atlanta Indonesian Restaurant,30340
Babs,30308
Little Alley Steak - Buckhead,30326
Bahel Ethiopian Restaurant,30329
Zyka,30033
SIP The Experience,30324
Ruth's Chris Steak House - Downtown Atlanta,30313
Chick-a-Biddy,30363
Kyma,30305
Tavernpointe,30309
Twin Peaks,30305
La Mei Zi,30340
Jia,30308
Cibo e Beve,30342
Tacos La Villa,30080
Las Brasas,30030
Benchwarmer's,30329
Yebo Beach Haus,30305
Tin Lizzy's Cantina,30303
Cho Dang Tofu House,30340
C&S Seafood & Oyster Bar,30339
Little Trouble,30318
Game-X,30313
Davio's Northern Italian Steakhouse,30326
Pizza Bella,30306
Las Tortas Locas,30328
Newk's Eatery,30329
New York Prime,30326
Rathbun's,30307
Park Tavern,30309
Tomo Japanese Restaurant,30326
Sweet Hut Bakery & Cafe,30309
Café Vendôme,30342
Mellow Mushroom,30329
Rock 'N' Taco,30305
Hong Kong City,30345
Souper Jenny Westside,30318
La Fonda Latina,30342
Panbury's Double Crust Pies,30303
The Juicy Crab,30080
Kale Me Crazy,30306
Fortune Cookie,30329
Buckhead BBQ,30305
Q Time,30310
Marlow's Tavern,30339
Extreme Teriyaki Grill Express,30324
Chai Peking,30329
Il Bacio Pizzeria & Trattoria,30324
El Tesoro,30317
The Beautiful Restaurant,30311
Makimono,30307
Wahlburgers,30339
2990 Nola Cafe,30345
Food Terminal,30341
Kamayan ATL,30303
Goldbergs Fine Foods - Toco Hills,30329
Newk's Eatery,30319
Brick Store Pub,30030
Dantanna's Downtown,30303
Atl Taco,30326
Don Quixote,30340
Reuben's Deli,30303
Fred's Meat & Bread,30308
Lovies BBQ,30305
Morton's The Steakhouse,30308
Republic Social House,30312
Varasano's Pizzeria,30309
Rain,30324
BrickStone Cafe,30303
Gato,30307
Go Vinda's Cafe,30307
Fúdo,30341
Terra Terroir,30319
The Brasserie and Neighborhood Café at PARISH,30307
Jack's New Yorker Deli,30305
Pacific Rim Bistro,30303
Escorpión,30308
Mojo's Motown Eatery,30314
Las Margaritas Latin Resturant Tequila & Rum Sports Bar,30324
Verde,30319
Duck Donuts,30342
Atwoods Pizza Cafe,30308
Establishment,30305
The Poncey Highland,30306
Crispina Ristorante & Pizzeria,30339
Sushi Huku Japanese Restaurant,30339
Las Tortas Locas,30345
Tin Lizzy's Cantina Buckhead,30305
Ziba's Bistro,30312
LT New Orleans Seafood Market,30310
Fresh To Order,30308
Secreto Southern Kitchen & Bar,30319
Rí Rá Irish Pub,30309
Noni's Bar & Deli,30312
Bento Mac,30316
The 57th Fighter Group Restaurant,30341
Jamrock Restaurant,30303
Henri's Bakery & Café,30305
Zesto,30324
Big Bang Pizza,30329
Holy Taco,30316
GreenHouse,30303
Alon's,30306
Farm Burger - Grant Park,30312
Puff & Petals Lounge,30312
Wingnuts,30329
The Oceanaire Seafood Room,30309
Press and Grind,30306
Embilta,30324
Desta Ethiopian Kitchen - Emory Point,30329
Poke Bar,30307
Sweet Cheats,30316
Chai Pani,30030
Taqueria Tsunami,30328
Flying Biscuit Cafe,30305
Son of a Bear,30030
Goodfellas Pizza,30308
Apache Café,30308
Adalina,30327
Mix'D UP Burgers,30312
Blaze Fast-Fire'd Pizza,30339
The Pinewood,30030
Street Food Thursdays,30309
Souper Jenny Brookhaven,30319
Pho 24,30308
The Mercury,30308
Hop's Chicken,30308
The Silver Skillet,30318
Georgia Grille,30309
So Ba,30316
Ru San's,30305
Osteria 832,30306
WH Stiles Fish Camp,30308
FuegoMundo South American Wood-Fire Grill,30342
Sidechick,30030
Marrakesh Mediterranean Kitchen,30308
Benzino's Crab Trap,30309
Onyx,30305
DC Wings and Bbq,30311
Princi Italia,30309
ROXX Tavern,30324
Surin of Thailand,30306
The Family Dog,30306
The White Bull,30030
The Canteen,30308
101 Steak,30339
Yasin's Homestyle Seafood,30310
Tapa Tapa,30308
MidiCi The Neapolitan Pizza Company,30309
La Hacienda,30308
Kat's Cafe,30309
Fresh 4 U Mediterranean Cafe,30309
Firepit Pizza Tavern,30312
Top Spice,30324
Minero,30308
Cook Out,30308
Wings R Us,30303
Unity Restaurant,30310
Otter's Chicken,30339
The Shed at Glenwood,30316
Bellina Alimentari,30308
Fellini's Pizza,30318
Streatery,30303
Cook Out,30318
Red Pepper Taquería,30329
J's Mini Hotpot Deluxe,30341
US Cafe Buckhead,30324
The Empanada Shop ATL,30303
Kobe Steakhouse,30345
Ghion Cultural Hall,30324
Hong Kong Harbour,30324
Su's Chinese Cuisine,30324
Boogalou,30308
Publik Draft House,30308
Da Korner Cafe,30317
Desi Spice Indian Cuisine,30308
Community Q BBQ,30033
Full Commission,30312
I Luv Pho,30340
Whitehall Tavern,30305
Metro Café Diner,30303
The Greater Good Barbecue East Lake,30317
BEP! Vietnamese Cuisine,30303
Mamak,30340
Oy!,30339
Mi Barrio,30312
Your Pie,30305
Little's Food Store and Grill,30312
Man Chun Hong,30340
Burger Win,30316
Henry's Midtown Tavern,30309
McCormick & Schmick's Seafood & Steaks,30303
Restaurant 10,30314
Privilege Restaurant Atlanta,30303
Senor Patron,30308
Livingston Restaurant & Bar,30308
Zinburger Wine & Burger Bar,30326
Golden Drops Café,30033
The Brunch Cabana,30313
Doc Chey's Dragon Bowl,30307
